PRODUCE,COST PER POUND,POUNDS SOLD
Asparagus,2.49,38.8
Parsnips,2.27,16.6
Apricots,3.71,17.6
Red onion,0.78,16.7
Orange,1.09,27.2
Fava beans,2.69,28.8
Butternut squash,1.28,0.6
Orange,1.09,13.6
Papaya,1.34,35
Cherries,9.5,33.5
Tomatoes,3.16,5.6
Beets,1.51,27.9
Green peppers,1.89,4.9
Cherries,9.5,19.6
Tomatoes,3.16,34.2
Corn,1.07,9.4
Apples,1.88,27.2
Red onion,0.78,0.6
Yellow peppers,2.87,39.9
Lettuce,1.88,2.8
Apricots,3.71,6.2
Coconuts,1.18,6
Butternut squash,1.28,31.7
Butternut squash,1.28,14.5
Green cabbage,0.8,29.1
Cherries,9.5,25.5
Green beans,2.52,6.7
Yellow peppers,2.87,28.1
Ginger,5.13,17.8
Butternut squash,1.28,38.1
Beets,1.51,28.6
Lemon,1.29,25.9
Grapes,2.63,16
Apricots,3.71,31.8
Celery,3.07,0.9
Bananas,0.86,27.9
Green cabbage,0.8,26.2
Celery,3.07,14
Potatoes,0.86,18.8
Potatoes,0.86,17.9
Coconuts,1.18,3.6
Coconuts,1.18,18.1
Papaya,1.34,18.8
Coconuts,1.18,16
Orange,1.09,32
Watermelon,0.66,36.3
Potatoes,0.86,31.5
Okra,2.26,25.6
Strawberries,4.4,27.2
Red onion,0.78,9.3
Strawberries,4.4,35.5
Cherries,9.5,38.6
Papaya,1.34,29.2
Daikon,1.4,29.1
Grapes,2.63,25.1
Beets,1.51,26.6
Red onion,0.78,10.2
Avocados,3.23,22.6
Orange,1.09,22.3
Lettuce,1.88,13.1
Apricots,3.71,13.6
Green peppers,1.89,20
Fava beans,2.69,16.8
Corn,1.07,15.5
Corn,1.07,39.7
Corn,1.07,1.2
Green peppers,1.89,28.7
Potatoes,0.86,20
Fava beans,2.69,34.3
Eggplant,2.32,1.8
Cherries,9.5,38.1
Potatoes,0.86,35.1
Kale,5.02,32.9
Daikon,1.4,35.7
Butternut squash,1.28,7.2
Okra,2.26,14.2
Green cabbage,0.8,34.8
Apples,1.88,16.9
Parsnips,2.27,23.2
Watermelon,0.66,39.5
Brussels sprouts,1.65,8.8
Strawberries,4.4,18.8
Okra,2.26,3
Garlic,1.19,26.9
Bok choy,1.42,2.3
Bananas,0.86,14.5
Watermelon,0.66,22.8
Garlic,1.19,3.4
Potatoes,0.86,30.1
Grapefruit,0.76,38.1
Bananas,0.86,29.8
Brussels sprouts,1.65,20.3
Grapes,2.63,30.7
Bananas,0.86,17.2
Ginger,5.13,27.3
Garlic,1.19,24.5
Green beans,2.52,35.1
Parsnips,2.27,28.3
Bok choy,1.42,7
Carrots,1.26,26.1
Lemon,1.29,0.5
Cucumber,1.07,26.9
Yellow peppers,2.87,4.8
Grapefruit,0.76,36.6
Lime,1.06,0.5
Parsnips,2.27,4.7
Okra,2.26,28.4
Bananas,0.86,16.2
Tomatoes,3.16,20.8
Bananas,0.86,16.1
Potatoes,0.86,32.8
Spinach,4.12,21.2
Fava beans,2.69,39.9
Celery,3.07,29.1
Asparagus,2.49,11.7
Butternut squash,1.28,17.4
Strawberries,4.4,5.3
Asparagus,2.49,29.4
Yellow peppers,2.87,31.5
Parsnips,2.27,32.3
Carrots,1.26,17.3
Celery,3.07,7.3
Apricots,3.71,8.1
Lettuce,1.88,36.3
Lime,1.06,13.2
Cucumber,1.07,25.1
Yellow peppers,2.87,1.3
Celery,3.07,23.9
Bok choy,1.42,38.2
Green peppers,1.89,16.4
Avocados,3.23,2.2
Cherries,9.5,1.9
Parsnips,2.27,32.3
Orange,1.09,8.5
Potatoes,0.86,6.4
Butternut squash,1.28,19.2
Brussels sprouts,1.65,19.1
Eggplant,2.32,14.9
Butternut squash,1.28,32.3
Ginger,5.13,39.7
Green cabbage,0.8,19.8
Garlic,1.19,11.8
Butternut squash,1.28,37.4
Lemon,1.29,5.4
Parsnips,2.27,35.7
Okra,2.26,21.1
Green peppers,1.89,27.4
Spinach,4.12,13.6
Apricots,3.71,15.4
Green peppers,1.89,35
Grapefruit,0.76,24.3
Corn,1.07,31.2
Kale,5.02,3.5
Papaya,1.34,39.7
Celery,3.07,29.7
Celery,3.07,26.4
Apples,1.88,31.1
Fava beans,2.69,4.4
Lime,1.06,2.3
Papaya,1.34,2.4
Yellow peppers,2.87,13
Cherries,9.5,24.3
Lettuce,1.88,28.9
Green peppers,1.89,26.7
Apples,1.88,3.6
Tomatoes,3.16,8
Corn,1.07,8.4
Bananas,0.86,10.4
Potatoes,0.86,21.9
Celery,3.07,38.8
Parsnips,2.27,21.4
Daikon,1.4,36
Kale,5.02,18.3
Avocados,3.23,15.2
Green peppers,1.89,38.1
Eggplant,2.32,29.6
Fava beans,2.69,6
Corn,1.07,23.4
Orange,1.09,1.3
Cherries,9.5,9.8
Green cabbage,0.8,7.8
Garlic,1.19,21
Apricots,3.71,10.3
Kale,5.02,26.5
Bananas,0.86,21.4
Corn,1.07,22
Ginger,5.13,6.6
Yellow peppers,2.87,32.6
Papaya,1.34,37.8
Green beans,2.52,17.7
Lime,1.06,36.4
Lettuce,1.88,32.5
Brussels sprouts,1.65,38.5
Cucumber,1.07,28.3
Eggplant,2.32,30.2
Celery,3.07,34.4
Orange,1.09,14.9
Avocados,3.23,36.2
Papaya,1.34,12.3
Garlic,1.19,2.7
Green peppers,1.89,10.7
Corn,1.07,33.3
Beets,1.51,24.2
Grapefruit,0.76,1.2
Asparagus,2.49,20.5
Garlic,1.19,27.6
Daikon,1.4,34.1
Celery,3.07,1.4
Bok choy,1.42,38.1
Green peppers,1.89,15.5
Lime,1.06,19.9
Potatoes,0.86,20.5
Ginger,5.13,12.8
Strawberries,4.4,2.3
Daikon,1.4,18.1
Orange,1.09,19.2
Strawberries,4.4,18.9
Strawberries,4.4,2.5
Yellow peppers,2.87,29.2
Papaya,1.34,36
Grapefruit,0.76,30.4
Fava beans,2.69,7.6
Cucumber,1.07,13.5
Bok choy,1.42,16.8
Orange,1.09,1.5
Watermelon,0.66,29.2
Butternut squash,1.28,15
Beets,1.51,26.2
Green peppers,1.89,4.9
Fava beans,2.69,1.8
Potatoes,0.86,20.9
Green cabbage,0.8,6.6
Corn,1.07,23.6
Asparagus,2.49,35.6
Kale,5.02,9.3
Spinach,4.12,35.2
Coconuts,1.18,23.5
Spinach,4.12,31.6
Watermelon,0.66,25.1
Tomatoes,3.16,17.9
Cucumber,1.07,29.5
Tomatoes,3.16,37.6
Coconuts,1.18,19.6
Cherries,9.5,23.5
Asparagus,2.49,16.9
Carrots,1.26,24.6
Brussels sprouts,1.65,28.2
Beets,1.51,29.1
Fava beans,2.69,4
Garlic,1.19,38.8
Spinach,4.12,38.6
Spinach,4.12,30.1
Kale,5.02,16.1
Fava beans,2.69,7.1
Bananas,0.86,9
Avocados,3.23,38.1
Strawberries,4.4,6
Tomatoes,3.16,32.8
Ginger,5.13,7.9
Cherries,9.5,39.2
Apples,1.88,15.5
Potatoes,0.86,9.4
Asparagus,2.49,32.8
Daikon,1.4,37.5
Coconuts,1.18,10.1
Fava beans,2.69,22.2
Yellow peppers,2.87,32.6
Cucumber,1.07,32.6
Cucumber,1.07,22.1
Red onion,0.78,8.8
Lettuce,1.88,36.5
Lemon,1.29,8.1
Apples,1.88,15.9
Grapes,2.63,15.1
Tomatoes,3.16,2.9
Spinach,4.12,38.4
Asparagus,2.49,38.5
Parsnips,2.27,12.7
Green peppers,1.89,24.5
Yellow peppers,2.87,23.4
Cucumber,1.07,26.6
Cucumber,1.07,9.9
Bok choy,1.42,39.4
Lettuce,1.88,25.3
Tomatoes,3.16,3.8
Orange,1.09,9.7
Papaya,1.34,10.8
Carrots,1.26,26.7
Red onion,0.78,24.1
Green beans,2.52,8.9
Red onion,0.78,31.7
Grapefruit,0.76,11.1
Grapes,2.63,4.9
Carrots,1.26,16.3
Coconuts,1.18,8.3
Celery,3.07,24.3
Brussels sprouts,1.65,31.7
Green beans,2.52,23.5
Green cabbage,0.8,20.4
Watermelon,0.66,29.9
Bananas,0.86,15.2
Cucumber,1.07,5.2
Fava beans,2.69,26.5
Garlic,1.19,3.6
Grapefruit,0.76,17.6
Eggplant,2.32,11.1
Strawberries,4.4,13.6
Watermelon,0.66,20.1
Parsnips,2.27,7.3
Spinach,4.12,8.9
Lime,1.06,11.1
Papaya,1.34,39.7
Kale,5.02,31.4
Grapes,2.63,32.4
Beets,1.51,4.1
Apples,1.88,38.1
Apples,1.88,32.5
Kale,5.02,26.9
Asparagus,2.49,27.1
Garlic,1.19,14.1
Strawberries,4.4,14.3
Celery,3.07,35.1
Cherries,9.5,17.1
Spinach,4.12,4.9
Coconuts,1.18,12.2
Tomatoes,3.16,5.6
Asparagus,2.49,32.8
Red onion,0.78,37.9
Bananas,0.86,10.1
Spinach,4.12,9.9
Grapefruit,0.76,28.1
Papaya,1.34,28.5
Green beans,2.52,11.2
Ginger,5.13,36.4
Grapefruit,0.76,6.8
Celery,3.07,1.4
Bok choy,1.42,31.5
Carrots,1.26,23.7
Fava beans,2.69,28.3
Fava beans,2.69,16.7
Lime,1.06,22.9
Bok choy,1.42,14.8
Potatoes,0.86,33.5
Green peppers,1.89,31.4
Red onion,0.78,38.9
Bananas,0.86,7.7
Carrots,1.26,3.3
Grapes,2.63,31.7
Brussels sprouts,1.65,21.2
Celery,3.07,10.4
Parsnips,2.27,17.3
Potatoes,0.86,4.9
Yellow peppers,2.87,25.2
Asparagus,2.49,17.3
Red onion,0.78,23.4
Okra,2.26,6.7
Celery,3.07,27
Papaya,1.34,32.7
Beets,1.51,3.2
Parsnips,2.27,23.3
Garlic,1.19,12.2
Cucumber,1.07,1.3
Bananas,0.86,21.1
Ginger,5.13,37.6
Kale,5.02,35.6
Okra,2.26,31.1
Watermelon,0.66,22.1
Papaya,1.34,2.4
Potatoes,0.86,18.6
Lemon,1.29,7.3
Watermelon,0.66,15.5
Apples,1.88,29.1
Cucumber,1.07,31.6
Red onion,0.78,31.6
Spinach,4.12,7.3
Orange,1.09,1.4
Parsnips,2.27,11.9
Carrots,1.26,2.9
Eggplant,2.32,26.4
Celery,3.07,13.3
Red onion,0.78,12
Bok choy,1.42,13.2
Celery,3.07,14.3
Fava beans,2.69,35
Kale,5.02,16.8
Carrots,1.26,26.8
Ginger,5.13,16.9
Asparagus,2.49,26.7
Watermelon,0.66,28.8
Cucumber,1.07,8.6
Grapefruit,0.76,0.6
Lemon,1.29,17.4
Carrots,1.26,36.3
Cucumber,1.07,11.1
Avocados,3.23,38.3
Cucumber,1.07,2.2
Bananas,0.86,39
Papaya,1.34,10.9
Corn,1.07,7.8
Papaya,1.34,34.1
Cherries,9.5,3.9
Lettuce,1.88,23.7
Butternut squash,1.28,15.1
Watermelon,0.66,38.5
Fava beans,2.69,5.6
Kale,5.02,6.9
Garlic,1.19,9.1
Green beans,2.52,3.9
Beets,1.51,7
Lettuce,1.88,10.5
Kale,5.02,4.1
Okra,2.26,5.3
Daikon,1.4,32.9
Parsnips,2.27,34
Apples,1.88,31.5
Fava beans,2.69,26
Fava beans,2.69,8.1
Butternut squash,1.28,18.9
Beets,1.51,26.1
Corn,1.07,34.3
Fava beans,2.69,29.6
Kale,5.02,17.2
Carrots,1.26,12.1
Okra,2.26,31
Bok choy,1.42,19.4
Avocados,3.23,22.8
Daikon,1.4,21.5
Lemon,1.29,7.8
Green beans,2.52,33
Fava beans,2.69,15
Coconuts,1.18,19
Apricots,3.71,12.4
Yellow peppers,2.87,24.7
Eggplant,2.32,21.9
Fava beans,2.69,37.6
Grapefruit,0.76,35.5
Daikon,1.4,9.9
Celery,3.07,25.4
Potatoes,0.86,38.1
Daikon,1.4,3.2
Garlic,1.19,19.6
Cucumber,1.07,9.9
Parsnips,2.27,17.3
Grapes,2.63,21.2
Butternut squash,1.28,39.8
Apples,1.88,21.2
Spinach,4.12,38.1
Butternut squash,1.28,17
Carrots,1.26,25.6
Papaya,1.34,4.5
Parsnips,2.27,10.1
Orange,1.09,24.4
Potatoes,0.86,7
Spinach,4.12,10.4
Papaya,1.34,14.3
Grapefruit,0.76,39.5
Eggplant,2.32,17.4
Asparagus,2.49,35.5
Ginger,5.13,19.8
Cherries,9.5,32
Orange,1.09,31.2
Green peppers,1.89,39.2
Watermelon,0.66,1.3
Lime,1.06,18.5
Corn,1.07,16.4
Coconuts,1.18,12.2
Lemon,1.29,38.5
Bok choy,1.42,34.1
Avocados,3.23,27.9
Fava beans,2.69,21.9
Cucumber,1.07,33.4
Garlic,1.19,2.8
Papaya,1.34,1.7
Kale,5.02,32.7
Watermelon,0.66,7.4
Grapes,2.63,8.1
Okra,2.26,30.1
Eggplant,2.32,11.2
Papaya,1.34,12.8
Cherries,9.5,20.9
Lemon,1.29,35.6
Cherries,9.5,32.3
Bok choy,1.42,38.1
Garlic,1.19,31.3
Eggplant,2.32,11.9
Papaya,1.34,35.4
Green beans,2.52,9.8
Asparagus,2.49,39
Garlic,1.19,19
Fava beans,2.69,23.3
Avocados,3.23,18.4
Garlic,1.19,17.9
Cucumber,1.07,15.4
Red onion,0.78,8.9
Lemon,1.29,36.7
Green beans,2.52,12.4
Bok choy,1.42,35.6
Apples,1.88,4.4
Apples,1.88,12.6
Lime,1.06,11.5
Green peppers,1.89,20
Corn,1.07,22.4
Cucumber,1.07,8.9
Cherries,9.5,18.3
Papaya,1.34,33.4
Avocados,3.23,17.2
Spinach,4.12,22.1
Celery,3.07,7.4
Ginger,5.13,39.2
Lemon,1.29,7.5
Butternut squash,1.28,29.3
Fava beans,2.69,0.6
Strawberries,4.4,31.2
Asparagus,2.49,11.1
Avocados,3.23,7.7
Green cabbage,0.8,25.9
Celery,3.07,12.7
Asparagus,2.49,9.5
Ginger,5.13,30.6
Carrots,1.26,31.4
Carrots,1.26,2
Red onion,0.78,22.3
Coconuts,1.18,22.7
Spinach,4.12,3.9
Grapefruit,0.76,2.1
Tomatoes,3.16,35.5
Parsnips,2.27,35.3
Asparagus,2.49,34.5
Grapefruit,0.76,5.6
Green peppers,1.89,36.2
Grapes,2.63,35.8
Strawberries,4.4,20.7
Green cabbage,0.8,16.5
Garlic,1.19,28.7
Lime,1.06,21.6
Eggplant,2.32,29.8
Fava beans,2.69,2.1
Fava beans,2.69,38.6
Strawberries,4.4,2.2
Grapes,2.63,19.6
Carrots,1.26,2.9
Coconuts,1.18,20.3
Asparagus,2.49,6
Fava beans,2.69,19.5
Celery,3.07,2.7
Bananas,0.86,2.6
Butternut squash,1.28,31.7
Lime,1.06,16.4
Tomatoes,3.16,22.7
Garlic,1.19,9.7
Coconuts,1.18,35.6
Lemon,1.29,39.3
Fava beans,2.69,20.3
Cherries,9.5,4.5
Green beans,2.52,10.1
Fava beans,2.69,24.9
Grapes,2.63,20.8
Red onion,0.78,17.7
Avocados,3.23,34.1
Green cabbage,0.8,14.6
Ginger,5.13,38
Papaya,1.34,12.3
Orange,1.09,4.1
Spinach,4.12,17.8
Potatoes,0.86,27.1
Green beans,2.52,37.4
Red onion,0.78,29.8
Bananas,0.86,14.7
Brussels sprouts,1.65,5.7
Coconuts,1.18,8.9
Avocados,3.23,1
Fava beans,2.69,7
Fava beans,2.69,28.4
Corn,1.07,7.7
Eggplant,2.32,20.3
Carrots,1.26,21.2
Avocados,3.23,8.1
Cucumber,1.07,20.3
Avocados,3.23,18.6
Fava beans,2.69,29.6
Corn,1.07,9.6
Grapes,2.63,14.1
Papaya,1.34,27.4
Garlic,1.19,16.2
Asparagus,2.49,30.4
Avocados,3.23,32.6
Garlic,1.19,36.1
Okra,2.26,8.2
Corn,1.07,9.6
Okra,2.26,2.6
Celery,3.07,33
Daikon,1.4,13.6
Corn,1.07,23.5
Corn,1.07,11.6
Parsnips,2.27,39.6
Corn,1.07,37.2
Red onion,0.78,2.4
Green beans,2.52,21
Carrots,1.26,39.8
Papaya,1.34,5.7
Kale,5.02,33.1
Lime,1.06,24.4
Celery,3.07,30.6
Watermelon,0.66,30.2
Butternut squash,1.28,12
Orange,1.09,4.1
Garlic,1.19,23.6
Butternut squash,1.28,39
Tomatoes,3.16,22.3
Beets,1.51,4.5
Spinach,4.12,15.6
Fava beans,2.69,22.2
Lime,1.06,27.8
Bok choy,1.42,17.1
Okra,2.26,15.8
Celery,3.07,35.2
Cherries,9.5,33.4
Strawberries,4.4,15.8
Lime,1.06,18.7
Strawberries,4.4,37
Yellow peppers,2.87,16
Lemon,1.29,39.4
Corn,1.07,11.5
Lettuce,1.88,27.6
Celery,3.07,39.9
Yellow peppers,2.87,3.8
Tomatoes,3.16,24.7
Red onion,0.78,13.9
Coconuts,1.18,37
Potatoes,0.86,13.7
Avocados,3.23,11.8
Spinach,4.12,34.3
Asparagus,2.49,25.4
Cherries,9.5,14.5
Potatoes,0.86,28.7
Bananas,0.86,7.2
Strawberries,4.4,12.4
Tomatoes,3.16,9.8
Asparagus,2.49,34.7
Garlic,1.19,14
Daikon,1.4,17.4
Green peppers,1.89,20.7
Fava beans,2.69,16.5
Tomatoes,3.16,30.4
Watermelon,0.66,28.9
Celery,3.07,37.1
Avocados,3.23,23.9
Papaya,1.34,15.5
Kale,5.02,21
Green beans,2.52,11.7
Apricots,3.71,5.9
Orange,1.09,31.1
Yellow peppers,2.87,9.6
Yellow peppers,2.87,13.5
Butternut squash,1.28,17.7
Parsnips,2.27,33.9
Apricots,3.71,11
Strawberries,4.4,36.6
Cherries,9.5,18.6
Orange,1.09,31.9
Lime,1.06,28.8
Garlic,1.19,23.7
Cucumber,1.07,3.5
Beets,1.51,17.1
Fava beans,2.69,18.4
Papaya,1.34,17.3
Papaya,1.34,25.5
Cherries,9.5,28.8
Fava beans,2.69,14.5
Bananas,0.86,25.7
Corn,1.07,7
Potatoes,0.86,17.1
Potatoes,0.86,4.6
Cherries,9.5,32.1
Kale,5.02,20
Fava beans,2.69,34.9
Spinach,4.12,27.8
Parsnips,2.27,37
Lettuce,1.88,19.9
Garlic,1.19,37.7
Coconuts,1.18,37.5
Ginger,5.13,27.9
Green beans,2.52,1
Green cabbage,0.8,32.8
Watermelon,0.66,38.1
Cucumber,1.07,8.6
Brussels sprouts,1.65,26.1
Yellow peppers,2.87,36.4
Grapes,2.63,18.4
Lime,1.06,29.1
Brussels sprouts,1.65,9.3
Lime,1.06,6.1
Red onion,0.78,10.8
Brussels sprouts,1.65,32.8
Coconuts,1.18,23.8
Yellow peppers,2.87,30.5
Grapes,2.63,13.1
Carrots,1.26,28.7
Grapes,2.63,2.8
Bananas,0.86,35.3
Corn,1.07,11.3
Bok choy,1.42,31.5
Apricots,3.71,27.9
Green peppers,1.89,18.5
Apricots,3.71,35.9
Daikon,1.4,0.5
Watermelon,0.66,12
Cherries,9.5,38.6
Beets,1.51,39.4
Green beans,2.52,12.7
Carrots,1.26,4.1
Avocados,3.23,7.4
Coconuts,1.18,37.3
Yellow peppers,2.87,31.3
Bananas,0.86,12.2
Green cabbage,0.8,22.6
Lettuce,1.88,10.3
Yellow peppers,2.87,12.6
Grapefruit,0.76,1.7
Celery,3.07,3.8
Grapefruit,0.76,6.6
Garlic,1.19,10.5
Watermelon,0.66,12.7
Ginger,5.13,2.2
Daikon,1.4,36.3
Green cabbage,0.8,33
Bananas,0.86,8.7
Spinach,4.12,13
Butternut squash,1.28,19.8
Lime,1.06,26.6
Cucumber,1.07,29.8
Asparagus,2.49,12.2
Cherries,9.5,36.2
Cucumber,1.07,37.6
Strawberries,4.4,13.2
Daikon,1.4,7.5
Potatoes,0.86,16.1
Papaya,1.34,9.8
Cucumber,1.07,29.4
Lettuce,1.88,23.6
Grapefruit,0.76,3
Coconuts,1.18,28.2
Celery,3.07,18.5
Papaya,1.34,36.6
Cherries,9.5,39.6
Strawberries,4.4,4.7
Parsnips,2.27,19.5
Corn,1.07,8.3
Kale,5.02,22.3
Eggplant,2.32,31.6
Cucumber,1.07,12
Cherries,9.5,35.8
Beets,1.51,12
Spinach,4.12,37.7
Tomatoes,3.16,39.9
Okra,2.26,15.6
Daikon,1.4,15.7
Spinach,4.12,17.2
Spinach,4.12,9.3
Kale,5.02,5.9
Lettuce,1.88,24.9
Apples,1.88,8.7
Butternut squash,1.28,34.8
Garlic,1.19,22.5
Cucumber,1.07,17.6
Garlic,1.19,21.1
Parsnips,2.27,6.1
Brussels sprouts,1.65,17.9
Spinach,4.12,18.4
Apples,1.88,23.8
Celery,3.07,33.6
Corn,1.07,9.3
Parsnips,2.27,9.9
Celery,3.07,5.3
Kale,5.02,11.3
Tomatoes,3.16,28.5
Ginger,5.13,11.3
Garlic,1.19,33.6
Brussels sprouts,1.65,1.1
Corn,1.07,39.2
Asparagus,2.49,31.3
Okra,2.26,35.7
Ginger,5.13,29
Grapefruit,0.76,33.2
Cucumber,1.07,22.7
Red onion,0.78,16.4
Beets,1.51,16.3
Apricots,3.71,17.9
Papaya,1.34,22.4
Coconuts,1.18,17.3
Watermelon,0.66,33.2
Bananas,0.86,37.7
Lime,1.06,11.7
Butternut squash,1.28,13
Orange,1.09,0.7
Coconuts,1.18,4.3
Okra,2.26,11.3
Green beans,2.52,9.2
Bananas,0.86,38
Carrots,1.26,30
Watermelon,0.66,14.8
Yellow peppers,2.87,39.4
Coconuts,1.18,28.9
Avocados,3.23,0.8
Green cabbage,0.8,15.9
Kale,5.02,9
Bok choy,1.42,19.4
Bananas,0.86,4
Okra,2.26,28.5
Brussels sprouts,1.65,38.4
Daikon,1.4,12.3
Coconuts,1.18,0.9
Yellow peppers,2.87,23.6
Spinach,4.12,35.6
Beets,1.51,13.5
Corn,1.07,1.4
Strawberries,4.4,27.8
Garlic,1.19,2.4
Ginger,5.13,10.4
Green cabbage,0.8,36.2
Lime,1.06,18.9
Apricots,3.71,9.7
Green beans,2.52,3.9
Celery,3.07,32
Brussels sprouts,1.65,23.6
Green beans,2.52,8
Lime,1.06,34.5
Brussels sprouts,1.65,15.1
Ginger,5.13,7.4
Orange,1.09,8.6
Okra,2.26,35.6
Lettuce,1.88,33.5
Strawberries,4.4,0.8
Garlic,1.19,37.5
Celery,3.07,28.3
Coconuts,1.18,4.5
Daikon,1.4,32.4
Yellow peppers,2.87,37.2
Orange,1.09,30
Cucumber,1.07,30
Cherries,9.5,37.3
Spinach,4.12,19.5
Spinach,4.12,21.1
Eggplant,2.32,4.5
Garlic,1.19,23.5
Garlic,1.19,10.7
Asparagus,2.49,31.2
Green beans,2.52,32.1
Green peppers,1.89,1.2
Eggplant,2.32,0.7
Apricots,3.71,24.4
Butternut squash,1.28,33
Watermelon,0.66,2.3
Orange,1.09,37.1
Celery,3.07,20.4
Spinach,4.12,12.6
Lemon,1.29,25.6
Kale,5.02,26.5
Celery,3.07,12
Ginger,5.13,6.3
Parsnips,2.27,24.6
Bananas,0.86,39.5
Ginger,5.13,2.5
Strawberries,4.4,36.8
Eggplant,2.32,32.7
Fava beans,2.69,7.4
Green peppers,1.89,28.6
Green cabbage,0.8,30.4
Lemon,1.29,6.4
Spinach,4.12,13.6
Butternut squash,1.28,25.8
Carrots,1.26,37.7
Grapes,2.63,22.3
Strawberries,4.4,1.1
Potatoes,0.86,37.9
Ginger,5.13,26.9
Fava beans,2.69,19.3
Red onion,0.78,5
Tomatoes,3.16,35.4
Grapes,2.63,36.9
Beets,1.51,8.6
Coconuts,1.18,31
Bananas,0.86,2.9
Cherries,9.5,30.4
Celery,3.07,11.2
Potatoes,0.86,25.1
Green beans,2.52,29.4
Ginger,5.13,12.4
Corn,1.07,18.7
Green cabbage,0.8,38.2
Cherries,9.5,30.8
Tomatoes,3.16,33.7
Grapes,2.63,25.7
Green cabbage,0.8,23
Tomatoes,3.16,4.2
Tomatoes,3.16,9.1
Okra,2.26,16.2
Bananas,0.86,17.8
Asparagus,2.49,5.4
Celery,3.07,3.7
Cucumber,1.07,11.6
Okra,2.26,4.5
Daikon,1.4,15.3
Cherries,9.5,27
Spinach,4.12,24.9
Corn,1.07,22
Bok choy,1.42,28.3
Parsnips,2.27,39.3
Bananas,0.86,19.8
Strawberries,4.4,15.7
Red onion,0.78,34.3
Cucumber,1.07,25.3
Strawberries,4.4,21.2
Bok choy,1.42,29.4
Butternut squash,1.28,8.9
Kale,5.02,38
Bok choy,1.42,17.7
Grapefruit,0.76,19.4
Yellow peppers,2.87,12.2
Bananas,0.86,6.4
Carrots,1.26,26.5
Green cabbage,0.8,1.2
Green cabbage,0.8,31.3
Apricots,3.71,19.9
Parsnips,2.27,15.6
Beets,1.51,28.5
Eggplant,2.32,24.2
Grapes,2.63,11.3
Parsnips,2.27,29.8
Lemon,1.29,25.3
Ginger,5.13,36.9
Lettuce,1.88,35.5
Red onion,0.78,40
Yellow peppers,2.87,30.2
Green beans,2.52,8.5
Ginger,5.13,32.3
Eggplant,2.32,4.7
Green cabbage,0.8,22.2
Garlic,1.19,10.7
Coconuts,1.18,31.9
Daikon,1.4,35.5
Coconuts,1.18,15.8
Apricots,3.71,5.2
Green peppers,1.89,8.5
Watermelon,0.66,15.7
Spinach,4.12,3.9
Ginger,5.13,20.3
Carrots,1.26,13
Green cabbage,0.8,36.3
Papaya,1.34,24
Celery,3.07,18.6
Grapes,2.63,33.7
Kale,5.02,6.3
Kale,5.02,6.3
Watermelon,0.66,32.2
Grapes,2.63,20.1
Coconuts,1.18,22.9
Brussels sprouts,1.65,17.2
Yellow peppers,2.87,5
Coconuts,1.18,11.1
Beets,1.51,22
Lime,1.06,13.2
Cherries,9.5,24.6
Parsnips,2.27,18.5
Butternut squash,1.28,37.1
Okra,2.26,36.9
Bananas,0.86,4.4
Ginger,5.13,8.5
Green cabbage,0.8,34.1
Daikon,1.4,33
Avocados,3.23,27.2
Lettuce,1.88,23.2
Green cabbage,0.8,11.1
Brussels sprouts,1.65,4.5
Bok choy,1.42,20.5
Avocados,3.23,37.8
Corn,1.07,1.1
Lemon,1.29,35.7
Cucumber,1.07,31.2
Papaya,1.34,26.7
Asparagus,2.49,24.6
Ginger,5.13,9.2
Red onion,0.78,35.1
Brussels sprouts,1.65,33.6
Lime,1.06,39.8
Corn,1.07,26.9
Cherries,9.5,5.4
Cherries,9.5,23.7
Ginger,5.13,21
Butternut squash,1.28,5.6
Tomatoes,3.16,12.8
Green beans,2.52,25.4
Cucumber,1.07,36.2
Daikon,1.4,3
Cucumber,1.07,15.5
Spinach,4.12,13.4
Lemon,1.29,14.9
Okra,2.26,25.7
Lettuce,1.88,13.1
Watermelon,0.66,35
Beets,1.51,28.3
Avocados,3.23,35.4
Carrots,1.26,5.2
Grapefruit,0.76,19.6
Beets,1.51,2.2
Grapefruit,0.76,24.7
Corn,1.07,22.1
Grapes,2.63,30.4
Ginger,5.13,1
Orange,1.09,17.2
Orange,1.09,38.2
Corn,1.07,5.4
Grapes,2.63,18.6
Garlic,1.19,10.4
Parsnips,2.27,27.3
Red onion,0.78,16.2
Celery,3.07,18.8
Butternut squash,1.28,21.5
Orange,1.09,14.9
Cherries,9.5,22.8
Bok choy,1.42,14.9
Celery,3.07,7.2
Lemon,1.29,1.1
Red onion,0.78,4.4
Eggplant,2.32,17.6
Strawberries,4.4,12.7
Red onion,0.78,13.2
Fava beans,2.69,19.7
Fava beans,2.69,18.8
Kale,5.02,38.2
Lime,1.06,29.6
Grapes,2.63,5
Green beans,2.52,28.4
Orange,1.09,1.1
Lime,1.06,1.2
Eggplant,2.32,0.5
Garlic,1.19,37.8
Strawberries,4.4,24.1
Lettuce,1.88,18.2
Okra,2.26,21
Potatoes,0.86,25.2
Red onion,0.78,29.3
Bananas,0.86,9.1
Potatoes,0.86,29.1
Grapes,2.63,21.3
Parsnips,2.27,1.4
Bok choy,1.42,37
Bok choy,1.42,1
Beets,1.51,35.3
Coconuts,1.18,23.9
Green cabbage,0.8,6.6
Potatoes,0.86,37.4
Lettuce,1.88,12.1
Lemon,1.29,35.8
